Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
52, 0, 5, 1:1, 262146:2555916, UNIT_VAMPIRE, UNIT_MACEDONIAN_HETAIROI, 50, 36, 12, -6, 9, 100
52, 2, 5, 1:1, 1638407:5832756, UNIT_KNIGHT, UNIT_KNIGHT, 50, 50, 11, 3, 22, 41
52, 4, 8, 1:1, 4587543:5242890, UNIT_KNIGHT, UNIT_SKIRMISHER, 50, 30, 8, 0, 10, 90
52, 4, 9, 1:1, 3604485:8781880, UNIT_CROSSBOWMAN, UNIT_KNIGHT, 40, 50, 25, 6, 0, 42
52, 4, 9, 1:1, 3801100:8847397, UNIT_CROSSBOWMAN, UNIT_MUSKETMAN, 40, 55, 27, 8, 0, 35
52, 4, 9, 1:1, 3473421:8847397, UNIT_CROSSBOWMAN, UNIT_MUSKETMAN, 40, 55, 28, 5, 0, 41
52, 4, 9, 1:1, 3538954:8847397, UNIT_CROSSBOWMAN, UNIT_MUSKETMAN, 40, 55, 23, 1, 0, 40
52, 4, 9, 1:1, 3407886:8781880, UNIT_CROSSBOWMAN, UNIT_KNIGHT, 40, 50, 26, 2, 0, 51
52, 0, 5, 1:3, 2621450:1048591, UNIT_CROSSBOWMAN, UNKNOWN, 40, 45, -9, -1, 0, 9
53, 5, 0, 1:1, 3604482:2555904, UNIT_CROSSBOWMAN, UNIT_CROSSBOWMAN, 40, 30, 11, 8, 0, 50
53, 5, 0, 1:1, 4128805:1966095, UNIT_MAN_AT_ARMS, UNIT_KNIGHT, 46, 50, 0, 14, 61, 15
53, 5, 0, 3:1, 1048591:2555904, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 30, -6, -2, 0, 39
53, 8, 4, 1:3, 4522029:1245202, UNIT_SKIRMISHER, UNKNOWN, 35, 40, -17, 0, 0, 13
53, 9, 4, 1:1, 9371693:3538954, UNIT_MUSKETMAN, UNIT_CROSSBOWMAN, 55, 30, 4, 11, 15, 61
53, 9, 4, 3:1, 65536:196608, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 50, 0, 7, 0, 16
53, 14, 7, 3:1, 65536:1900568, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 30, 0, 0, 0, 44
53, 14, 7, 1:1, 458755:1900568, UNIT_CATAPULT, UNIT_WARRIOR, 35, 30, -17, 7, 0, 14
53, 14, 7, 1:1, 786434:1900568, UNIT_CROSSBOWMAN, UNIT_WARRIOR, 40, 30, 3, 5, 0, 41
53, 17, 12, 3:1, 65536:458752, DISTRICT_CITY_CENTER, DISTRICT_CITY_CENTER, 40, 36, 0, -7, 0, 46
53, 2, 5, 1:1, 1638407:4194314, UNIT_KNIGHT, UNIT_MAN_AT_ARMS, 50, 46, 6, 5, 25, 36
53, 4, 9, 1:1, 4587543:8781880, UNIT_KNIGHT, UNIT_KNIGHT, 50, 50, 9, -6, 16, 55
53, 4, 8, 1:1, 393220:5242890, UNIT_SCOUT, UNIT_SKIRMISHER, 10, 30, 8, -4, 41, 22
53, 4, 8, 1:1, 4653064:4522029, UNIT_CROSSBOWMAN, UNIT_SKIRMISHER, 40, 30, 11, -2, 0, 74
53, 4, 8, 1:1, 4128790:4522029, UNIT_VAMPIRE, UNIT_SKIRMISHER, 50, 30, 8, -9, 7, 100
53, 4, 9, 1:1, 3604485:9371693, UNIT_CROSSBOWMAN, UNIT_MUSKETMAN, 40, 55, 25, 3, 0, 39
53, 4, 9, 1:1, 3801100:9371693, UNIT_CROSSBOWMAN, UNIT_MUSKETMAN, 40, 55, 27, -1, 0, 51
53, 4, 9, 1:1, 3473421:8257551, UNIT_CROSSBOWMAN, UNIT_COURSER, 40, 46, 28, 6, 0, 56
53, 0, 5, 1:1, 2293777:5832756, UNIT_KNIGHT, UNIT_KNIGHT, 50, 50, 12, -1, 18, 50
53, 0, 5, 1:1, 262146:5832756, UNIT_VAMPIRE, UNIT_KNIGHT, 50, 50, 13, -6, 14, 63
