Update: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 16 spline, 32 tower
Free: 8 spline, 16 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 6 spline, 14 tower
Free: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 3 spline, 7 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 4 spline, 11 tower
Update: 24 spline, 72 tower
Free: 12 spline, 36 tower
Update: 24 spline, 72 tower
Free: 12 spline, 36 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 2 spline, 7 tower
Update: 25 spline, 71 tower
Free: 13 spline, 34 tower
Update: 27 spline, 75 tower
Free: 12 spline, 37 tower
Update: 10 spline, 24 tower
Free: 5 spline, 12 tower
Update: 10 spline, 24 tower
Free: 5 spline, 12 tower
Update: 1 spline, 3 tower
Update: 8 spline, 18 tower
Free: 4 spline, 9 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 15 spline, 39 tower
Update: 33 spline, 89 tower
Free: 17 spline, 47 tower
Update: 32 spline, 72 tower
Free: 14 spline, 34 tower
Update: 4 spline, 19 tower
Free: 2 spline, 10 tower
Update: 8 spline, 36 tower
Free: 4 spline, 18 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 47 spline, 127 tower
Free: 25 spline, 63 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 46 spline, 130 tower
Free: 23 spline, 65 tower
Update: 20 spline, 48 tower
Free: 10 spline, 24 tower
Update: 3 spline, 11 tower
Update: 7 spline, 21 tower
Free: 3 spline, 11 tower
