Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
1, 3, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 3, 4, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 4, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 4, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 4, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 4, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
3, 0, 4, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
3, 4, 0, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
4, 0, 1, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
4, 1, 0, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
4, 1, 4, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
4, 4, 1, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
5, 8, 9, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
